2022-09-22 06:49:23,KesaGataMe0,ip,155.94.201.74,#phishing,https://twitter.com/KesaGataMe0/status/1572840466202370049
2022-09-22 06:49:23,KesaGataMe0,url,https://micerdy-user.top,#phishing,https://twitter.com/KesaGataMe0/status/1572840466202370049
2022-09-22 06:49:23,KesaGataMe0,url,https://micerdy-user.xyz,#phishing,https://twitter.com/KesaGataMe0/status/1572840466202370049
2022-09-22 06:49:23,KesaGataMe0,url,https://micerdy-user.life,#phishing,https://twitter.com/KesaGataMe0/status/1572840466202370049
2022-09-22 06:49:23,KesaGataMe0,url,https://micerdy-user.shop,#phishing,https://twitter.com/KesaGataMe0/status/1572840466202370049
2022-09-22 06:50:32,nevaluoto,domain,apply-on-linkedin.com,#phishing,https://twitter.com/nevaluoto/status/1572840754682408960
2022-09-22 06:53:57,quicksandphish,url,https://nta-z.com,#phishing,https://twitter.com/quicksandphish/status/1572841615299051521
2022-09-22 06:54:57,quicksandphish,url,http://ntarr.top,#phishing,https://twitter.com/quicksandphish/status/1572841865162129411
2022-09-22 06:55:57,quicksandphish,url,https://nta-b.com,#phishing,https://twitter.com/quicksandphish/status/1572842115759222785
2022-09-22 06:56:59,quicksandphish,url,https://nta-c.com,#phishing,https://twitter.com/quicksandphish/status/1572842377995497473
2022-09-22 06:58:03,illegalFawn,url,https://gov-ua.ga,#phishing,https://twitter.com/illegalFawn/status/1572842647848423424
2022-09-22 07:02:43,nevaluoto,domain,nearwalletz.com,#phishing,https://twitter.com/nevaluoto/status/1572843820517314561
2022-09-22 07:03:01,illegalFawn,url,https://sheikh-riyadh.github.io/login-form,#phishing,https://twitter.com/illegalFawn/status/1572843896899608576
2022-09-22 07:05:37,nevaluoto,domain,mpdfinvfxm.org,#phishing,https://twitter.com/nevaluoto/status/1572844550179397633
2022-09-22 07:17:53,ecarlesi,url,http://assurance-renouvellement.net,#phishing,https://twitter.com/ecarlesi/status/1572847637199523841
2022-09-22 07:23:55,quicksandphish,url,https://rlse.binper.top,#phishing,https://twitter.com/quicksandphish/status/1572849155235454976
2022-09-22 07:24:17,kjfriedo,md5,428a1a8db4f5d4f76445f240762a6afd,#phishing,https://twitter.com/kjfriedo/status/1572849246587551745
2022-09-22 07:24:57,quicksandphish,url,https://risz.genit.top,#phishing,https://twitter.com/quicksandphish/status/1572849417308499968
2022-09-22 07:25:58,quicksandphish,url,https://tkszi.fewity.top,#phishing,https://twitter.com/quicksandphish/status/1572849670245994497
2022-09-22 07:26:57,quicksandphish,url,https://tvxo.phylant.top,#phishing,https://twitter.com/quicksandphish/status/1572849917307277319
2022-09-22 07:27:12,ecarlesi,url,http://anzupdate-device.live/,#phishing,https://twitter.com/ecarlesi/status/1572849982197088259
2022-09-22 07:27:58,quicksandphish,url,https://nsuh.juteur.top,#phishing,https://twitter.com/quicksandphish/status/1572850174703312896
2022-09-22 07:28:08,ecarlesi,url,https://anzupdate-device.live/,#phishing,https://twitter.com/ecarlesi/status/1572850217443016707
2022-09-22 07:29:22,ecarlesi,url,https://anzupdate-device.live/anz/,#phishing,https://twitter.com/ecarlesi/status/1572850528614318082
2022-09-22 07:29:59,quicksandphish,url,https://melt.oratory.top,#phishing,https://twitter.com/quicksandphish/status/1572850682100846592
2022-09-22 07:30:40,ecarlesi,url,https://rushbuying.shop,#phishing,https://twitter.com/ecarlesi/status/1572850852729061378
2022-09-22 07:30:57,quicksandphish,url,https://www.cynfic.top,#phishing,https://twitter.com/quicksandphish/status/1572850924078632960
2022-09-22 07:31:57,quicksandphish,url,https://ygbhn.upling.top,#phishing,https://twitter.com/quicksandphish/status/1572851179285286912
2022-09-22 07:32:57,quicksandphish,url,https://cfjb.backify.top,#phishing,https://twitter.com/quicksandphish/status/1572851427751632896
2022-09-22 07:33:57,quicksandphish,url,https://www.calable.top,#phishing,https://twitter.com/quicksandphish/status/1572851681922273281
2022-09-22 07:34:23,ecarlesi,url,https://snap-up.shop,#phishing,https://twitter.com/ecarlesi/status/1572851790386794501
2022-09-22 07:46:51,illegalFawn,url,https://consumercomplaintonline.in,#phishing,https://twitter.com/illegalFawn/status/1572854925713088512
2022-09-22 08:03:14,quicksandphish,url,https://oeal.addfold.top,#phishing,https://twitter.com/quicksandphish/status/1572859048059613184
2022-09-22 08:04:12,quicksandphish,url,https://make.clading.top,#phishing,https://twitter.com/quicksandphish/status/1572859292126158853
2022-09-22 08:05:08,quicksandphish,url,https://www.enture.top,#phishing,https://twitter.com/quicksandphish/status/1572859527825084416
2022-09-22 08:06:09,quicksandphish,url,https://siom.agogade.top,#phishing,https://twitter.com/quicksandphish/status/1572859785397309440
2022-09-22 08:07:13,quicksandphish,url,https://exuwa.coldit.top,#phishing,https://twitter.com/quicksandphish/status/1572860050582147073
2022-09-22 08:08:16,quicksandphish,url,https://jrzi.segery.top,#phishing,https://twitter.com/quicksandphish/status/1572860315855130626
