2022-09-08 05:12:02,pingineer_jp,domain,avscccieoseesaccarsevoi.viiacuvavnsascrrosearrio.yuzksv.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742534792937473
2022-09-08 05:12:08,pingineer_jp,domain,avscacieevecseacsrcevoi.viiasuvarnsvscrrsreaio.rdryqo.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742561560961027
2022-09-08 05:12:14,pingineer_jp,domain,avscccaeiseesaaccrsoroi.visavucavnsaserrrieaio.i9ipcur.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742587569864704
2022-09-08 05:12:21,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.xkmdod.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742614602121216
2022-09-08 05:12:27,pingineer_jp,domain,avscccieoseesaccarsevoi.viiacuvavnsascrrosearrio.xruwfho.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742641244368896
2022-09-08 05:12:33,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.qyrlqd.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742667366473728
2022-09-08 05:12:40,pingineer_jp,domain,avscccaeoseesaacareeroi.visacucavnsaserrooeairio.oeauteo.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742694990159873
2022-09-08 05:12:46,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.jcmwlg.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742720936136705
2022-09-08 05:12:52,pingineer_jp,domain,avscacieosecseacsrcevoi.viiacuvarnsvscrroserraio.wcbcht.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742746932441088
2022-09-08 05:12:58,pingineer_jp,domain,avscccieoseesaccareevoi.viiacucavnsascrrooearrio.vzeulz.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742772895174657
2022-09-08 05:13:05,pingineer_jp,domain,avicccveoseesaacareeeoi.viiacucrvnsascrrooeaierio.brpccx.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742800309133313
2022-09-08 05:13:12,pingineer_jp,domain,avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.rzduek.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742828461322240
2022-09-08 05:13:18,pingineer_jp,domain,avscacaeiaeaseccercoroi.visavucarnsvserroieaio.okqukw.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742855443271682
2022-09-08 05:13:25,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.sfhjtf.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742882286829568
2022-09-08 05:13:31,pingineer_jp,domain,avicacveeaeasevcercreoi.viiavucrrnsvscrroieeaio.fkgeme.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742908379582464
2022-09-08 05:13:37,pingineer_jp,domain,avscacieosecseacercevoi.viiacucarnsvscrrooerraio.yzokdg.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742934593970177
2022-09-08 05:13:44,pingineer_jp,domain,avicacveeseasevcsrcreoi.viiavuerrnsvscrrsieeaio.uvgoago.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567742961945055232
2022-09-08 05:18:23,pingineer_jp,domain,avicccveeseesaacvrsreoi.viiavuervnsascrrsieaeio.lngugq.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744135716831232
2022-09-08 05:18:29,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.svjeab.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744158047305728
2022-09-08 05:18:34,pingineer_jp,domain,avscccaeiaeesaaccreoroi.visavucavnsaserroieaio.oeauteo.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744180235153411
2022-09-08 05:18:39,pingineer_jp,domain,avscacieosecseacsrcevoi.viiacuvarnsvscrroserraio.vyvkdq.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744202444001286
2022-09-08 05:18:45,pingineer_jp,domain,avicacveoseaseacsrceeoi.viiacuerrnsvscrroseieraio.cbrcwg.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744224749289472
2022-09-08 05:18:50,pingineer_jp,domain,avscacaeoseaseacerceroi.visacucarnsvserrooeiraio.x1y65xf.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744247318847490
2022-09-08 05:18:55,pingineer_jp,domain,avscccieoseesaccareevoi.viiacucavnsascrrooearrio.rnwggn.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744269510918145
2022-09-08 05:19:01,pingineer_jp,domain,avscacieosecseacercevoi.viiacucarnsvscrrooerraio.erstm5s.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744291963023361
2022-09-08 05:19:06,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.tdyoar.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744314545176578
2022-09-08 05:19:11,pingineer_jp,domain,avscacieosecseacercevoi.viiacucarnsvscrrooerraio.sulsau.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744336707862528
2022-09-08 05:19:17,pingineer_jp,domain,avscacaeoseaseacsrceroi.visacucarnsvserroreiraio.fnzxzx.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744359059312641
2022-09-08 05:19:22,pingineer_jp,domain,avscccieoseesaccareevoi.viiacucavnsascrrooearrio.yplbul.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744381456912388
2022-09-08 05:19:27,pingineer_jp,domain,avscacieosecseacercevoi.viiacucarnsvscrrooerraio.6hqstri.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744403741233152
2022-09-08 05:19:33,pingineer_jp,domain,avscccieeveesaccarsevoi.viiasuvavnsascrrsreaio.mqhmme.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744426071687168
2022-09-08 05:19:38,pingineer_jp,domain,avscccieeveesaccarsevoi.viiasuvavnsascrrsreaio.uleyron.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744448377028610
2022-09-08 05:19:43,pingineer_jp,domain,avscacieevecseacsrcevoi.viiasuvarnsvscrrsreaio.vgtkezc.bar,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744470808170498
2022-09-08 05:19:49,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.rqgjzca.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744493306380290
2022-09-08 05:20:05,pingineer_jp,domain,avscacieevecseacsrcevoi.viiasuvarnsvscrrsreaio.jwwtzp.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744560385912832
2022-09-08 05:20:10,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.kw0cnwm.tokyo,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744582905139200
2022-09-08 05:20:15,pingineer_jp,domain,avscccieeaeesaccareevoi.viiasucavnsascrroreaio.ycfbzf.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744605285928960
2022-09-08 05:20:21,pingineer_jp,domain,avscccaeoseesaacarseroi.visacucavnsaserroreairio.evsrns.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744627608027136
2022-09-08 05:20:26,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.vggure.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744649804251136
2022-09-08 05:20:31,pingineer_jp,domain,avscacieeaecseacercevoi.viiasucarnsvscrroreaio.yjbytg.sa.com,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744672113790976
2022-09-08 05:20:37,pingineer_jp,domain,avscccieoseesaccareevoi.viiacucavnsascrrooearrio.ycfbzf.cyou,#phishing #scam,https://twitter.com/pingineer_jp/status/1567744694368759808
