date,user,indicator_type,indicator,label,tweetlink
2022-03-31 14:55:49,JAMESWT_MHT,ip,45.147.230.231,,https://twitter.com/JAMESWT_MHT/status/1509545003445633028
2022-03-31 14:55:49,JAMESWT_MHT,url,http://45.147.230.231/a/enc.txt,,https://twitter.com/JAMESWT_MHT/status/1509545003445633028
2022-03-31 14:58:34,500mk500,domain,naveicoiph.online,,https://twitter.com/500mk500/status/1509545696076120077
2022-03-31 14:58:34,500mk500,domain,naveicoipg.online,,https://twitter.com/500mk500/status/1509545696076120077
2022-03-31 14:58:34,500mk500,ip,2.57.90.16,,https://twitter.com/500mk500/status/1509545696076120077
2022-03-31 15:02:14,AddressIntel,url,https://accedi-in-app-psd2.com,#phishing,https://twitter.com/AddressIntel/status/1509546619041193986
2022-03-31 15:03:24,ecarlesi,url,https://thegossipfashion.com/?attachment_id=562,#phishing,https://twitter.com/ecarlesi/status/1509546910511554565
2022-03-31 15:03:27,ecarlesi,url,http://kubahpanelmasjid.com/,#phishing,https://twitter.com/ecarlesi/status/1509546923044261888
2022-03-31 15:05:02,HeliosCert,sha256,1a213a9f2bb0984f35bbf43ebc3e34a54fe1347b3130ec51bfd75bc29f93786d,#malware,https://twitter.com/HeliosCert/status/1509547324183355392
2022-03-31 15:05:02,HeliosCert,ip,124.123.40.98,#malware,https://twitter.com/HeliosCert/status/1509547324183355392
2022-03-31 15:09:04,MalwarePatrol,url,https://charah.sharefile.com:443/html/en/upgradebrowser.html,#phishing,https://twitter.com/MalwarePatrol/status/1509548337292353545
2022-03-31 15:10:02,HeliosCert,sha256,8588218e712418d6f910711238c7dc03d8d36ab78690b66dfecd508087fc93f0,#malware,https://twitter.com/HeliosCert/status/1509548582982103049
2022-03-31 15:10:02,HeliosCert,ip,181.115.163.66,#malware,https://twitter.com/HeliosCert/status/1509548582982103049
2022-03-31 15:11:35,ecarlesi,url,https://thegossipfashion.com/?attachment_id=605,#phishing,https://twitter.com/ecarlesi/status/1509548971429347338
2022-03-31 15:16:55,ecarlesi,url,https://validationcontract.com/,#phishing,https://twitter.com/ecarlesi/status/1509550313497370633
2022-03-31 15:20:23,PhishStats,url,http://grup-ciwiciwi-viral759.duckdns.org/,#phishing,https://twitter.com/PhishStats/status/1509551185187033089
2022-03-31 15:20:23,PhishStats,ip,20.127.121.244,#phishing,https://twitter.com/PhishStats/status/1509551185187033089
2022-03-31 15:24:23,ecarlesi,url,http://kubahpanelmasjid.com/index.html,#phishing,https://twitter.com/ecarlesi/status/1509552191387934732
2022-03-31 15:28:49,ecarlesi,url,https://kayrologistics.com/courier.zip,#phishing,https://twitter.com/ecarlesi/status/1509553309429948417
2022-03-31 15:38:59,KesaGataMe0,url,https://www.eki-net.com.566673.com,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:38:59,KesaGataMe0,ip,107.172.140.196,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:38:59,KesaGataMe0,url,https://www.eki-net.com.yxads.com.cn,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:38:59,KesaGataMe0,url,https://www.eki-net.com.fumg.cn,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:38:59,KesaGataMe0,url,https://www.eki-net.com.hixia.cn,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:38:59,KesaGataMe0,url,https://www.eki-net.com.660773.com,#phishing,https://twitter.com/KesaGataMe0/status/1509555865174839296
2022-03-31 15:42:17,ecarlesi,md5,9bf31c7ff062936a96d3c8bd1f8f2ff3,#phishing,https://twitter.com/ecarlesi/status/1509556698389917699
2022-03-31 15:43:04,KesaGataMe0,url,https://amao74.shop/,#phishing,https://twitter.com/KesaGataMe0/status/1509556896294146050
2022-03-31 15:43:04,KesaGataMe0,ip,192.161.179.79,#phishing,https://twitter.com/KesaGataMe0/status/1509556896294146050
2022-03-31 15:44:20,KesaGataMe0,url,https://amao53.shop,#phishing,https://twitter.com/KesaGataMe0/status/1509557214637625353
2022-03-31 15:44:20,KesaGataMe0,url,https://amao33.shop,#phishing,https://twitter.com/KesaGataMe0/status/1509557214637625353
2022-03-31 15:45:02,HeliosCert,sha256,dd1050fec1b43023018c086209a968a90c31790f5d3b8657a1c83c308a0aec23,#malware,https://twitter.com/HeliosCert/status/1509557391041433600
2022-03-31 15:45:02,HeliosCert,ip,189.126.192.170,#malware,https://twitter.com/HeliosCert/status/1509557391041433600
2022-03-31 15:50:02,HeliosCert,sha256,af1e4d31379807a5b415b69cf15bb032ae11324233bbfde46764adc49ce4cbf0,#malware,https://twitter.com/HeliosCert/status/1509558648292454404
2022-03-31 15:50:02,HeliosCert,ip,31.40.22.34,#malware,https://twitter.com/HeliosCert/status/1509558648292454404
2022-03-31 16:00:02,HeliosCert,sha256,24aefa1fed4613907f97ff6c4e6a9376d70ea2c3ea3477d72ea5f1f28bb103cc,#malware,https://twitter.com/HeliosCert/status/1509561162756616194
2022-03-31 16:00:02,HeliosCert,ip,103.239.85.2,#malware,https://twitter.com/HeliosCert/status/1509561162756616194
2022-03-31 16:09:58,k3yp0d,md5,aaeb9678b275c6639d7b2598ce8e708c,#Spring4Shell,https://twitter.com/k3yp0d/status/1509563665644593154
2022-03-31 16:09:58,k3yp0d,sha256,b95017be689384eec9f3800f712ce2b6003893afeac507c7da70330fe75dd216,#Spring4Shell,https://twitter.com/k3yp0d/status/1509563665644593154
2022-03-31 16:18:15,ecarlesi,url,https://walletconnectsyncdapp.com/,#phishing,https://twitter.com/ecarlesi/status/1509565750331293702
2022-03-31 16:20:02,HeliosCert,ip,183.82.112.38,#malware,https://twitter.com/HeliosCert/status/1509566197175627780
2022-03-31 16:20:02,HeliosCert,sha256,9fe47b1bddf2c8fa897918f3bea8ead0604e4d25a54c72473414f5943405b792,#malware,https://twitter.com/HeliosCert/status/1509566197175627780
2022-03-31 16:25:18,smica83,url,https://elmrabet.tn/aspx.php,#phishing,https://twitter.com/smica83/status/1509567523628503043
2022-03-31 16:25:18,smica83,url,https://rifasaltasorte.com.br/otpteleg/signin.php,#phishing,https://twitter.com/smica83/status/1509567523628503043
2022-03-31 16:37:22,AP_Zenmashi,url,https://smbc.co.jp.hgyty.com,#phishing,https://twitter.com/AP_Zenmashi/status/1509570560337928192
2022-03-31 16:51:44,drb_ra,ip,46.101.93.216,#CobaltStrike,https://twitter.com/drb_ra/status/1509574173844250625
2022-03-31 16:51:49,drb_ra,ip,8.142.92.66,#CobaltStrike,https://twitter.com/drb_ra/status/1509574195776266241
2022-03-31 16:52:03,drb_ra,ip,31.12.34.23,#CobaltStrike,https://twitter.com/drb_ra/status/1509574252885946371
2022-03-31 16:52:18,drb_ra,ip,121.5.21.76,#CobaltStrike,https://twitter.com/drb_ra/status/1509574318115667968
2022-03-31 16:52:26,drb_ra,ip,50.93.205.198,#CobaltStrike,https://twitter.com/drb_ra/status/1509574349648449548
2022-03-31 17:00:00,silentpush_labs,domain,poligon-wallet.com,#phishing,https://twitter.com/silentpush_labs/status/1509576255368093701
2022-03-31 17:00:00,silentpush_labs,ip,188.114.97.20,#phishing,https://twitter.com/silentpush_labs/status/1509576255368093701
2022-03-31 17:02:23,AP_Zenmashi,ip,216.127.161.72,#phishing,https://twitter.com/AP_Zenmashi/status/1509576854277361668
2022-03-31 17:02:23,AP_Zenmashi,url,https://eki-net.com.railwaysgroup.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509576854277361668
2022-03-31 17:06:40,AP_Zenmashi,url,https://aeon-kiss.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509577931424555023
2022-03-31 17:06:40,AP_Zenmashi,ip,134.122.188.204,#phishing,https://twitter.com/AP_Zenmashi/status/1509577931424555023
2022-03-31 17:09:07,malwrhunterteam,url,http://gotovacoil.com/,,https://twitter.com/malwrhunterteam/status/1509578549535064065
2022-03-31 17:10:02,dnstwist,domain,steamcommunitysupport.com,#phishing,https://twitter.com/dnstwist/status/1509578779601117194
2022-03-31 17:10:02,dnstwist,domain,update-linkedin.com,#phishing,https://twitter.com/dnstwist/status/1509578780557385735
2022-03-31 17:11:10,phishunt_io,url,https://instagram.metacopyrightform.ga/,#phishing #scam,https://twitter.com/phishunt_io/status/1509579065640075270
2022-03-31 17:11:10,phishunt_io,ip,31.31.198.231,#phishing #scam,https://twitter.com/phishunt_io/status/1509579065640075270
2022-03-31 17:24:23,NeonPint,domain,edc.ca,#phishing,https://twitter.com/NeonPint/status/1509582393254064131
2022-03-31 17:24:23,NeonPint,domain,edc-ca.com,#phishing,https://twitter.com/NeonPint/status/1509582393254064131
2022-03-31 17:27:30,malwrhunterteam,sha256,068e674d290aa509d3fdfc9cb46aa63271f958625289207f39c722043fcd6e31,,https://twitter.com/malwrhunterteam/status/1509583177903489025
2022-03-31 17:30:38,ecarlesi,url,https://taxes24.uk/,#phishing,https://twitter.com/ecarlesi/status/1509583965556199424
2022-03-31 17:30:52,ecarlesi,url,https://taxes24.uk/hsbc/index.php?id=476,#phishing,https://twitter.com/ecarlesi/status/1509584023030358064
2022-03-31 17:31:06,ecarlesi,url,https://taxes24.uk/barclays/index.php?id=476,#phishing,https://twitter.com/ecarlesi/status/1509584080358494208
2022-03-31 17:31:20,ecarlesi,url,https://taxes24.uk/santander/index.php?id=476,#phishing,https://twitter.com/ecarlesi/status/1509584139720175616
2022-03-31 17:35:19,ecarlesi,url,https://taxes24.uk/santander/index.php,#phishing,https://twitter.com/ecarlesi/status/1509585141211209728
2022-03-31 17:36:27,AP_Zenmashi,url,https://aeon-tops.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509585430072549404
2022-03-31 17:37:37,AP_Zenmashi,url,https://amazon.co.jp.vbnc.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509585723103404051
2022-03-31 17:37:47,FromPorts,ip,179.98.120.205,#malware,https://twitter.com/FromPorts/status/1509585762165133326
2022-03-31 17:37:47,FromPorts,url,https://telefonica.com/,#malware,https://twitter.com/FromPorts/status/1509585762165133326
2022-03-31 17:37:47,FromPorts,ip,201.76.49.38,#malware,https://twitter.com/FromPorts/status/1509585762165133326
2022-03-31 17:38:26,AP_Zenmashi,url,https://amazon.co.jp.mfjn.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509585925718016001
2022-03-31 17:38:35,ecarlesi,url,https://rescheduling-postal-service.com/,#phishing,https://twitter.com/ecarlesi/status/1509585963323990019
2022-03-31 17:39:22,AP_Zenmashi,url,https://amazon.co.jp.njzkd.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509586160879767552
2022-03-31 17:41:43,AP_Zenmashi,url,https://suica.fjsjge.com,#phishing,https://twitter.com/AP_Zenmashi/status/1509586755749507075
2022-03-31 17:41:43,AP_Zenmashi,ip,45.59.186.91,#phishing,https://twitter.com/AP_Zenmashi/status/1509586755749507075
2022-03-31 17:42:15,AP_Zenmashi,url,https://suica.goeiws.com,#phishing,https://twitter.com/AP_Zenmashi/status/1509586889191264269
2022-03-31 17:43:01,IronNetTR,url,https://mdgovbeaconpays.us/maryland-loginn/,#phishing,https://twitter.com/IronNetTR/status/1509587081999310855
2022-03-31 17:44:01,AP_Zenmashi,url,https://amao74.shop,#phishing,https://twitter.com/AP_Zenmashi/status/1509587333074489349
2022-03-31 17:44:41,AP_Zenmashi,url,https://kylpceq.cn,#phishing,https://twitter.com/AP_Zenmashi/status/1509587499252809733
2022-03-31 17:44:41,AP_Zenmashi,ip,192.161.59.246,#phishing,https://twitter.com/AP_Zenmashi/status/1509587499252809733
2022-03-31 17:45:18,AP_Zenmashi,url,https://jpqaqmd.cn,#phishing,https://twitter.com/AP_Zenmashi/status/1509587656782782467
2022-03-31 17:46:00,AP_Zenmashi,url,https://nmh0n0jtyi.cn,#phishing,https://twitter.com/AP_Zenmashi/status/1509587833006145539
2022-03-31 17:46:38,AP_Zenmashi,url,https://jlpalzq.cn,#phishing,https://twitter.com/AP_Zenmashi/status/1509587992104812545
2022-03-31 17:47:19,AP_Zenmashi,url,https://vugsnwx.cn,#phishing,https://twitter.com/AP_Zenmashi/status/1509588164171939841
2022-03-31 17:50:54,ecarlesi,url,https://mintedverification.com/en/wallets/index-2.html,#phishing,https://twitter.com/ecarlesi/status/1509589066454552580
2022-03-31 17:54:05,ecarlesi,url,https://testkha.com/admin_panel_code_v2.1.zip,#phishing,https://twitter.com/ecarlesi/status/1509589865930895361
